"location";"source";"expert";"n_tv";"mean_tv";"sd_tv";"n_ms";"mean_ms";"sd_ms";"d_diff";"t";"df";"p.value";"yi";"vi";"sei"
"byui";"byui";1;34;1,83333333333333;2,16841421366403;38;2,60526315789474;2,02069661100847;0,368312219079745;1,55715936123095;67,7330940290747;0,124093178984365;0,365084968040465;0,0566531585815742;0,238019239939914
"cnj";"cnj";1;39;1,27350427350427;2,20561722391524;58;1,67816091954023;1,73594665484439;0,203885608815901;0,962665788962054;68,3443268130772;0,339109043662852;0,207198371655935;0,0431036996174368;0,207614304944136
"illinois";"illinois";0;16;-0,25;1,32497379429012;22;0,560606060606061;2,35114823605362;0,424772278322472;1,34915569722784;34,2116149549191;0,186149028237955;0,398986249153748;0,110049151073148;0,331736568790882
"ithaca";"ithaca";0;66;-0,0656565656565657;1,95436806143431;68;-0,470588235294118;2,631128426438;-0,17472146310164;-1,01334790557767;123,640538333221;0,3128729584146;-0,173347571854309;0,0299695220591869;0,173117076162887
"occid";"occid";1;17;0,568627450980392;1,73511409279986;21;0,793650793650794;2,76380613260488;0,0975176338434604;0,305980271050447;34,1090111279674;0,761479500560102;0,0932446872116958;0,106556979289933;0,326430665363923
"pace";"pace_expert";1;30;1,68888888888889;2,00942860549011;29;1,52873563218391;2,19399838191276;-0,0761279260020797;-0,292115947201242;56,1639684449181;0,771274333778578;-0,0751789125918733;0,067863989148078;0,260507176768852
"pace";"pace_inhouse";0;20;2,03333333333333;4,84242943232192;13;0,230769230769231;6,36452060308728;-0,318760306687557;-0,870449638993719;20,8639851103023;0,393959831933449;-0,320784792332191;0,128482211513859;0,358444153968033
"riverside";"riverside";1;6;0,444444444444445;0,88610675721675;4;2,33333333333333;1,24721912892465;1,74600206378774;2,6200397088612;5,01783580864159;0,0469325474646748;1,64525925076638;0,552010566778285;0,742974136008976
"ufl";"ufl";0;81;1,1358024691358;1,39719737110659;103;0,805825242718447;1,31567081711497;-0,243158385494323;-1,63150329359336;166,841428485021;0,104670304197494;-0,243038430195688;0,0222149268724885;0,149046727144505
"upenn";"upenn";0;19;0,684210526315789;1,52134477634921;10;0,766666666666667;2,43457603985317;0,0406191569435464;0,0975466525812227;12,808998251827;0,923802138334053;0,0427229234386156;0,152663048743698;0,390721190548578
"uwmadison";"uwmadison_expert";1;31;0,881720430107527;1,68115565872557;32;0,864583333333333;2,27477892895711;-0,00856806455974611;-0,034078644799085;57,0655201780416;0,972933360790334;-0,00844192787440894;0,0635086301204642;0,252009186579506
"vcu";"vcu";1;12;1,22222222222222;1,13113274175106;27;1,49382716049383;2,0007912331678;0,167119717581256;0,537976963199128;34,5763164867042;0,594039231289465;0,148882886455427;0,120654551317541;0,347353640138607
"wpi";"wpi";0;50;0,866666666666667;2,05480466765633;51;0,509803921568627;1,77056543532972;-0,186063919970231;-0,934230527176744;96,2959849940365;0,352521748068648;-0,184788159995195;0,0397768860287124;0,19944143508487
